Item,Count,Assoc.CAS,Assoc.Chemical
dust mask type N95 (US),1,['21324-40-3'],['Lithium hexafluorophosphate']
Eyeshields,1,['21324-40-3'],['Lithium hexafluorophosphate']
Gloves,1,['21324-40-3'],['Lithium hexafluorophosphate']
