name,cas,url
Vanadium acetylacetonate,13476-99-8,https://www.sigmaaldrich.com/GB/en/product/aldrich/227110
Tetraethylammonium tetrafluoroborate,429-06-1,https://www.sigmaaldrich.com/GB/en/product/sial/86618
Iron methanesulfonate,75-75-2,https://www.sigmaaldrich.com/GB/en/product/sial/471356
"2,2′-bipyridine",366-18-7,https://www.sigmaaldrich.com/GB/en/product/sial/d216305
Acetone,67-64-1,https://www.sigmaaldrich.com/GB/en/product/sigald/179124
Isopropanol,67-63-0,https://www.sigmaaldrich.com/GB/en/product/sigald/34863
Acetonitrile,75-05-8,https://www.sigmaaldrich.com/GB/en/product/sigald/34851
Diethyl ether,60-29-7,https://www.sigmaaldrich.com/GB/en/product/sigald/309966
